variables,null_pre
STU_ID,0
X1SEX,0
X1RACE,0
X1HISPANIC,0
X1WHITE,0
X1BLACK,0
X1DUALLANG,0
X1STDOB,199502
X1TXMTH,0
X1TXMSEM,0
X1TXMSCR,0
X1TXMTSCOR,0
X1TXMQUINT,0
X1TXMPROF1,0
X1TXMPROF2,0
X1TXMPROF3,0
X1TXMPROF4,0
X1TXMPROF5,0
X1MACC,0
X1PARRESP,1
X1P1RELATION,0
X1PAR1EDU,0
X1PAR1EMP,0
X1PAR1OCC2,0
X1PAR1OCC_STEM1,0
X1PAR1RACE,0
X1P2RELATION,0
X1PAR2EDU,0
X1PAR2EMP,0
X1PAR2OCC2,0
X1PAR2OCC_STEM1,0
X1PAR2RACE,0
X1PAREDU,0
X1PARPATTERN,0
X1MOMRESP,1
X1MOMREL,1
X1MOMEDU,2
X1MOMEMP,4
X1MOMOCC2,0
X1MOMOCC_STEM1,0
X1MOMRACE,0
X1DADRESP,0
X1DADREL,0
X1DADEDU,0
X1DADEMP,0
X1DADOCC2,0
X1DADOCC_STEM1,0
X1DADRACE,0
X1HHNUMBER,0
X1FAMINCOME,0
X1POVERTY,0
X1POVERTY130,0
X1POVERTY185,0
X1SES,0
X1SESQ5,0
X1SES_U,0
X1SESQ5_U,0
X1MTHID,0.03
X1MTHUTI,-0.13
X1MTHEFF,0.1
X1MTHINT,0.19
X1SCIID,0.27
X1SCIUTI,0.1
X1SCIEFF,0.25
X1SCIINT,0.16
X1SCHOOLBEL,0.08
X1SCHOOLENG,0.23
X1STUEDEXPCT,0
X1PAREDEXPCT,0
X1IEPFLAG,0
X1TESTSTAT,0
X1SQSTAT,0
X1PQSTAT,0
X1PQLANG,0
X1TMQSTAT,9
X1TMLINK,0
X1TMCRSLINK,0
X1TMRACE,0
X1TMCERT,1
X1TMCOMM,-0.03
X1TMEFF,0.2
X1TMEXP,0.3
X1TMPRINC,-0.11
X1TMRESP,-0.13
X1TSQSTAT,0
X1TSLINK,0
X1TSCRSLINK,0
X1TSRACE,0
X1TSCERT,1
X1TSCOMM,0.01
X1TSEFF,0.17
X1TSEXP,0.16
X1TSPRINC,-0.13
X1TSRESP,-0.13
X1CONTROL,0
X1LOCALE,0
X1REGION,0
X1SCHOOLCLI,-0.31
X1COUPERTEA,0.03
X1COUPERCOU,0.26
X1COUPERPRI,0.2
X1AQSTAT,0
X1STU30OCC2,0